Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Latitude,Longitude
2024,40028,40059.0,59.0,The Friends' School,North Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,http://www.friends.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1143.0,94.0,4.0,10.0,25.0,61.0,144.0,121.7,103.0,76.8,1248.0,632.0,616.0,1248.0,1.0,16.0,71.0,13.0,-42.869285,147.313375
2024,40029,40060.0,60.0,The Hutchins School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,http://www.hutchins.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1139.0,93.0,2.0,10.0,28.0,60.0,121.0,108.5,86.0,65.9,1016.0,0.0,1016.0,1016.0,2.0,18.0,82.0,0.0,-42.905952,147.330242
2024,40030,42261.0,2261.0,The Cottage School,Bellerive,TAS,7018,Independent,Primary,School Single Entity,Individual Reporting,http://www.cottageschool.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-6,Inner Regional,1116.0,88.0,5.0,17.0,31.0,48.0,12.0,6.8,17.0,7.5,79.0,41.0,38.0,79.0,0.0,10.0,90.0,0.0,-42.875405,147.367494
2024,40031,42801.0,2801.0,Launceston Christian School,Riverside,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,http://www.lcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1063.0,73.0,14.0,25.0,33.0,28.0,73.0,60.5,53.0,34.0,717.0,368.0,349.0,717.0,2.0,7.0,85.0,8.0,-41.401842,147.090571
2024,40032,42802.0,2802.0,Leighland Christian School,Ulverstone,TAS,7315,Independent,Combined,School Head Campus,Rolled Reporting,http://www.leighland.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,1016.0,54.0,26.0,30.0,25.0,19.0,69.0,55.8,80.0,42.4,610.0,301.0,309.0,610.0,9.0,7.0,93.0,0.0,-41.153547,146.195067
2024,40033,42803.0,2803.0,North West Christian School,Penguin,TAS,7316,Independent,Combined,School Single Entity,Individual Reporting,https://www.northwestchristianschool.com.au/,Adventist Schools Australia,https://www.adventist.edu.au/,Prep-12,Outer Regional,1011.0,52.0,23.0,30.0,24.0,23.0,14.0,11.6,12.0,9.1,107.0,48.0,59.0,104.2,21.0,0.0,100.0,0.0,-41.123571,146.080384
2024,40035,42805.0,2805.0,St Michael's Collegiate School,Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,http://www.collegiate.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1122.0,90.0,3.0,15.0,29.0,53.0,108.0,63.6,125.0,46.2,653.0,653.0,0.0,653.0,3.0,6.0,94.0,0.0,-42.888185,147.323435
2024,40036,42809.0,2809.0,Scotch Oakburn College,Newstead,TAS,7250,Independent,Combined,School Head Campus,Rolled Reporting,http://www.soc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1118.0,89.0,5.0,15.0,29.0,50.0,151.0,113.7,187.0,92.6,1132.0,588.0,544.0,1132.0,1.0,15.0,84.0,0.0,-41.449213,147.168873
2024,40037,42816.0,2816.0,John Paul II Catholic School,Clarendon Vale,TAS,7019,Catholic,Primary,School Single Entity,Individual Reporting,http://www.johnpaul.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,976.0,36.0,38.0,30.0,23.0,9.0,21.0,14.3,25.0,17.8,198.0,97.0,101.0,198.0,11.0,15.0,85.0,0.0,-42.8945,147.447
2024,40038,42818.0,2818.0,The Launceston Preparatory School,Launceston,TAS,7250,Independent,Primary,School Single Entity,Individual Reporting,http://www.lps.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-6,Inner Regional,1142.0,94.0,2.0,12.0,31.0,56.0,12.0,9.5,9.0,5.1,110.0,57.0,53.0,110.0,0.0,8.0,92.0,0.0,-41.4374,147.158
2024,40039,42819.0,2819.0,Eastside Lutheran College,Warrane,TAS,7018,Independent,Combined,School Single Entity,Individual Reporting,http://www.elc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1004.0,49.0,29.0,33.0,27.0,11.0,37.0,32.8,37.0,25.0,304.0,125.0,179.0,303.2,6.0,12.0,88.0,0.0,-42.851645,147.383845
