Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
2024,45893,56092,16092,Monivae College,Hamilton,VIC,3300,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.monivae.com,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Inner Regional,1034,62,22,32,30,17,54,48.6,38,32.3,576,301,275,576,3,4,96,0
2024,45894,41135,1135,St Mary Magdalen's School,Chadstone,VIC,3148,Catholic,,School Single Entity,Individual Reporting,http://www.smmchadstone.catholic.edu.au,,,Prep-6,Major Cities,,,,,,,,,,,,,,,,,,
2024,45895,40965,965,St Anthony's School,Noble Park,VIC,3174,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sanoblepark.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1015,53,29,34,26,10,29,25.8,16,11.8,304,149,155,304,0,92,8,0
2024,45896,41233,1233,St Peter's School,Clayton,VIC,3168,Catholic,Primary,School Single Entity,Individual Reporting,http://www.spclayton.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1088,81,10,19,34,37,15,13.5,8,5.1,165,74,91,164,2,80,20,0
2024,45897,41080,1080,St Joseph's School,Hopetoun,VIC,3396,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sjhopetoun.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Remote,967,32,41,42,13,4,6,4.8,3,2.2,40,25,15,40,3,0,100,0
2024,45898,41035,1035,St John Bosco's School,Niddrie,VIC,3042,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sjbniddrie.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1099,84,5,21,37,37,38,28.3,23,15,410,208,202,410,0,8,92,0
2024,45899,40804,804,Holy Family School,Bell Park,VIC,3215,Catholic,Primary,School Single Entity,Individual Reporting,http://web.hfbellpark.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1037,63,18,36,33,12,35,29.6,16,9.5,338,188,150,338,2,30,70,0
2024,45900,58101,18101,Holy Spirit Parish School,Manifold Heights,VIC,3218,Catholic,Primary,School Head Campus,Individual Reporting,http://www.hsmanifoldheights.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1068,75,8,30,39,23,30,23.7,19,10,324,168,156,323.4,1,4,96,0
2024,45901,41156,1156,St Mary's School,Greensborough,VIC,3088,Catholic,Primary,School Single Entity,Individual Reporting,http://www.smgreensborough.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1101,84,5,20,38,37,43,37.6,35,21.5,520,248,272,520,0,5,95,0
2024,45902,40864,864,Mother of God School,Ardeer,VIC,3022,Catholic,Primary,School Single Entity,Individual Reporting,http://www.mogardeer.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,991,42,44,23,22,11,16,12.2,16,9.9,122,58,64,122,2,78,22,0
2024,45903,42195,2195,St Peter Chanel School,Deer Park,VIC,3023,Catholic,Primary,School Single Entity,Individual Reporting,http://www.spcdeerpark.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1006,50,33,29,24,14,53,42.7,21,14,513,245,268,512.6,1,67,33,0
2024,45904,40771,771,Christ the King Primary School,Braybrook,VIC,3019,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ctkbraybrook.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,993,43,39,27,23,11,24,20.1,10,6.1,229,99,130,229,0,58,42,0
2024,45905,40778,778,Corpus Christi School,Glenroy,VIC,3046,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ccglenroy.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1049,68,20,27,31,22,19,15,16,7.6,188,105,83,187.4,2,68,32,0
2024,45906,40826,826,Killester College,Springvale,VIC,3171,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.killester.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1015,53,30,29,28,12,101,91.9,51,42.7,971,971,0,971,0,52,48,0
2024,45907,41224,1224,St Paul's School,Sunshine West,VIC,3020,Catholic,Primary,School Single Entity,Individual Reporting,http://www.spsunshinewest.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1013,53,31,32,26,12,46,37.5,28,18.5,499,257,242,499,0,72,28,0
2024,45908,41215,1215,St Patrick's School,Pyramid Hill,VIC,3575,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sppyramidhill.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Outer Regional,989,41,38,24,25,13,4,3.2,3,1.9,12,7,5,12,8,73,27,0
2024,45909,40776,776,Clonard College,Herne Hill,VIC,3218,Catholic,Secondary,School Single Entity,Individual Reporting,https://clonard.vic.edu.au/,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1049,68,17,34,32,17,90,79.5,52,39.3,939,939,0,939,2,7,93,0
2024,45910,41274,1274,Stella Maris School,Beaumaris,VIC,3193,Catholic,Primary,School Single Entity,Individual Reporting,http://www.smbeaumaris.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1140,93,2,11,32,55,21,15.7,10,6,174,65,109,174,2,8,92,0
2024,45911,41248,1248,St Therese's School,Kennington,VIC,3550,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stkennington.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Inner Regional,1079,78,12,24,33,31,41,33.1,22,15,457,225,232,457,4,16,83,0
2024,45912,40975,975,St Bernadette's School,Sunshine North,VIC,3020,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbsunshinenth.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1002,48,34,28,26,12,31,26.2,18,10.8,347,170,177,347,0,84,16,0
2024,45913,41030,1030,St James' School,Sebastopol,VIC,3356,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sjsebastopol.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Inner Regional,1033,61,25,30,27,17,15,13.2,13,7.7,156,73,83,156,4,7,93,0
2024,45914,40937,937,Sacred Heart School,Mildura,VIC,3500,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shmildura.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Outer Regional,1059,72,13,30,33,24,29,25.5,17,10.4,329,159,170,329,1,12,88,0
2024,45915,41129,1129,St Margaret's Primary School,Maribyrnong,VIC,3032,Catholic,Primary,School Single Entity,Individual Reporting,http://www.smmaribyrnong.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1125,91,3,15,34,48,37,31.5,11,6.1,443,200,243,442.6,1,57,43,0
2024,45916,40820,820,Immaculate Heart of Mary School,Newborough,VIC,3825,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stmnewbor.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Inner Regional,1010,52,28,39,24,9,18,15.2,13,8.7,249,124,125,249,2,1,99,0
2024,45917,40808,808,Holy Family School,Mount Waverley,VIC,3149,Catholic,Primary,School Single Entity,Individual Reporting,http://www.hfmw.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1124,90,6,13,30,51,25,18.6,12,7.4,274,130,144,274,0,43,57,0
2024,45918,41025,1025,St Gerard's School,Dandenong North,VIC,3175,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sgdandenongnth.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1057,71,16,28,35,21,16,12.6,10,6.4,133,60,73,133,0,63,37,0
2024,45919,41182,1182,St Mel's School,Shepparton,VIC,3630,Catholic,Primary,School Single Entity,Individual Reporting,http://www.smshepparton.com,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Inner Regional,1004,49,34,34,21,11,23,17.3,11,8,183,81,102,183,7,51,49,0
2024,45920,42129,2129,Our Lady of Perpetual Succour School,Surrey Hills,VIC,3127,Catholic,Primary,School Single Entity,Individual Reporting,http://www.olsurreyhills.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1139,93,2,10,29,59,16,12.3,9,5.8,142,70,72,142,0,20,80,0
2024,45921,40994,994,St Catherine's School,Moorabbin,VIC,3189,Catholic,Primary,School Single Entity,Individual Reporting,https://www.scmoorabbin.catholic.edu.au/,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-6,Major Cities,1093,82,12,18,35,35,11,9.4,5,3.7,100,43,57,99.4,0,13,87,0
